Year	Authors	Title	Subtitle	ISBN number	Place of publishing	Publisher	Type of document (genre)	Language	Number of pages
2017		My little Pony	raksti ar ponijiem!	9789934163647	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		My little Pony	skaiti ar ponijiem!	9789934163630	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017	Casalis, Anna	Skani, mana grāmatiņa!	mana pasaule	9789934067662	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017	Makkenzija, Karina 	Garais ceļojums		9789934870408	Rīga	Latvijas Baptistu draudžu savienības Svētdienskolu apvienība	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017	Makkenzija, Karina 	Skaistais dārzs		9789934870415	Rīga	Latvijas Baptistu draudžu savienības Svētdienskolu apvienība	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017	Makkenzija, Karina 	Brīnumainā laiva		9789934870422	Rīga	Latvijas Baptistu draudžu savienības Svētdienskolu apvienība	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Lielās pēdas dēls	uzlīmes; darbošanās grāmata 2	9789934070556	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Lielās pēdas dēls	uzlīmes; darbošanās grāmata 1	9789934070549	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Marvel Spider-Man	izaicinoši uzdevumi	9789934164316	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Marvel Spider-Man	uzlīmju grāmata	9789934164309	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Darbarīki	krāso, spēlējies, mācies	9789934067983	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Virtuvē	krāso, spēlējies, mācies	9789934067990	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Alfabēts		9789934069277	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017		Lāčuks		9789934163753	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	
2017		Līmē un krāso ar bebru	palīgs krāsu un formu apguvē	9789934164101	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Līmē un krāso ar zaķi	palīgs krāsu un formu apguvē	9789934164125	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
